"Date","Type","Day1","Day2","Day3","Comments"
2024-01-03,"LB","0","0","0",""
2024-01-03,"Sheath","0","0","0",""
2024-01-05,"LB","","","0",""
2024-01-05,"Sheath","","","0",""
2024-01-08,"LB","0","0","0",""
2024-01-08,"Sheath","0","0","0",""
2024-01-09,"LB","0","0","0",""
2024-01-09,"Sheath","0","0","0",""
2024-01-10,"LB","0","0","0",""
2024-01-10,"Sheath","0","0","0",""
2024-01-11,"LB","0","","0",""
2024-01-11,"Sheath","0","","0",""
2024-01-12,"LB","","","0",""
2024-01-12,"Sheath","","","0",""
2024-01-16,"LB","0","0","",""
2024-01-16,"Sheath","0","0","",""
2024-01-17,"LB","0","","1",""
2024-01-17,"Sheath","0","","1",""
2024-01-18,"LB","","","1",""
2024-01-18,"Sheath","","","1",""
2024-01-23,"LB","0","0","0",""
2024-01-23,"Sheath","0","0","0",""
2024-01-24,"LB","0","0","0",""
2024-01-24,"Sheath","0","0","0",""
2024-01-25,"LB","0","","0",""
2024-01-25,"Sheath","0","","0",""
2024-01-26,"LB","","","0",""
2024-01-26,"Sheath","","","0",""
2024-01-29,"LB","0","0","0",""
2024-01-29,"Sheath","0","0","0",""
2024-01-30,"LB","0","1","1",""
2024-01-30,"Sheath","0","1","1",""
2024-01-31,"LB","0","0","1",""
2024-01-31,"Sheath","0","0","1",""
2024-02-01,"LB","0","0","0",""
2024-02-01,"Sheath","0","0","0",""
2024-02-02,"LB","0","0","0",""
2024-02-02,"Sheath","0","0","0",""
2024-02-05,"LB","0","0","0",""
2024-02-05,"Sheath","0","0","0",""
2024-02-06,"LB","0","0","0",""
2024-02-06,"Sheath","0","0","0",""
2024-02-07,"LB","0","0","0",""
2024-02-07,"Sheath","0","0","0",""
2024-02-08,"LB","0","","1","probably a mistake "
2024-02-08,"Sheath","0","","0",""
2024-02-09,"LB","","","0",""
2024-02-09,"Sheath","","","1","probably a mistake "
2024-02-12,"LB","0","0","0",""
2024-02-12,"Sheath","0","0","0",""
2024-02-13,"LB","0","0","0",""
2024-02-13,"Sheath","0","0","0",""
2024-02-14,"LB","0","0","0",""
2024-02-14,"Sheath","0","0","0",""
2024-02-15,"LB","0","","0",""
2024-02-15,"Sheath","0","","0",""
2024-02-16,"LB","","","0",""
2024-02-16,"Sheath","","","0",""
2024-02-19,"LB","0","0","0",""
2024-02-19,"Sheath","0","0","0",""
2024-02-22,"LB","0","","0",""
2024-02-22,"Sheath","0","","0",""
2024-02-23,"LB","","","0",""
2024-02-23,"Sheath","","","0",""
2024-02-26,"LB","0","0","0",""
2024-02-26,"Sheath","0","0","0",""
2024-02-27,"LB","0","0","0",""
2024-02-27,"Sheath","0","0","0",""
2024-02-28,"LB","0","0","0",""
2024-02-28,"Sheath","0","0","0",""
2024-02-29,"LB","0","","0",""
2024-02-29,"Sheath","0","","0",""
2024-03-01,"LB","","","0",""
2024-03-01,"Sheath","","","0",""
2024-03-04,"LB","0","0","0",""
2024-03-04,"Sheath","0","0","0",""
2024-03-05,"LB","0","0","0",""
2024-03-05,"Sheath","0","0","0",""
2024-03-06,"LB","0","0","0",""
2024-03-06,"Sheath","0","0","0",""
2024-03-07,"LB","0","","0",""
2024-03-07,"Sheath","0","","0",""
2024-03-08,"LB","","","0",""
2024-03-08,"Sheath","","","0",""
2024-03-11,"LB","0","0","0",""
2024-03-11,"Sheath","0","0","0",""
2024-03-12,"LB","0","0","0",""
2024-03-12,"Sheath","0","0","0",""
2024-03-13,"LB","0","0","0",""
2024-03-13,"Sheath","0","0","0",""
2024-03-14,"LB","0","","0",""
2024-03-14,"Sheath","0","","0",""
2024-03-14,"","","","",""
2024-03-15,"LB","","","0",""
2024-03-15,"Sheath","","","0",""
2024-03-18,"LB","0","0","0",""
2024-03-18,"Sheath","0","0","0",""
2024-03-19,"LB","0","0","0",""
2024-03-19,"Sheath","0","0","0",""
2024-03-20,"LB","0","0","",""
2024-03-20,"Sheath","0","0","",""
2024-03-21,"LB","0","","","Alec practice collecting and removing sheath"
2024-03-21,"Sheath","1","","",""
2024-03-22,"LB","","","0","3-21 was an isolated event. "
2024-03-22,"Sheath","","","0",""
2024-03-25,"LB","0","0","0",""
2024-03-25,"Sheath","0","0","0",""
2024-03-26,"LB","0","","1","Alec Practice "
2024-03-26,"Sheath","0","","0",""
2024-03-27,"LB","","0","0",""
2024-03-27,"Sheath","","0","0",""
2014-03-29,"LB","0","0","0",""
2014-03-29,"Sheath","0","0","0",""
2024-04-01,"LB","0","0","0",""
2024-04-01,"Sheath","0","0","0",""
2024-04-02,"LB","0","0","0",""
2024-04-02,"Sheath","0","0","0",""
2024-04-03,"LB","0","0","0",""
2024-04-03,"Sheath","0","0","0",""
2024-04-04,"LB","0","","0",""
2024-04-04,"Sheath","0","","0",""
2024-04-05,"LB","","","0",""
2024-04-05,"Sheath","","","0",""
2024-04-08,"LB","0","0","0",""
2024-04-08,"Sheath","0","0","0",""
2024-04-09,"LB","0","0","0",""
2024-04-09,"Sheath","0","0","0",""
2024-04-10,"LB","0","0","0",""
2024-04-10,"Sheath","0","0","0",""
2024-04-11,"LB","0","","0",""
2024-04-11,"Sheath","0","","0",""
2024-04-18,"LB","0","","0",""
2024-04-18,"Sheath","0","","0",""
2024-04-19,"LB","","","0",""
2024-04-19,"Sheath","","","0",""
2024-04-22,"LB","0","0","0",""
2024-04-22,"Sheath","0","0","0",""
2024-04-23,"LB","0","0","0",""
2024-04-23,"Sheath","0","0","0",""
2024-04-24,"LB","0","0","0",""
2024-04-24,"Sheath","0","0","0",""
2024-04-25,"LB","0","","0",""
2024-04-25,"Sheath","0","","0",""
2024-04-26,"LB","","","0",""
2024-04-26,"Sheath","","","0",""
2024-04-29,"LB","0","0","0",""
2024-04-29,"Sheath","0","0","0",""
2024-04-30,"LB","0","0","0",""
2024-04-30,"Sheath","0","0","0",""
2024-05-01,"LB","0","0","1",""
2024-05-01,"Sheath","0","0","1",""
2024-05-02,"LB","0","","0",""
2024-05-02,"Sheath","0","","0",""
2024-05-03,"LB","","","0",""
2024-05-03,"Sheath","","","0",""
2024-05-06,"LB","0","0","0",""
2024-05-06,"Sheath","0","0","0",""
2024-05-07,"LB","0","0","0",""
2024-05-07,"Sheath","0","0","0",""
2024-05-08,"LB","0","0","0",""
2024-05-08,"Sheath","0","0","0",""
2024-05-14,"LB","0","0","0",""
2024-05-14,"Sheath","0","0","0",""
2024-05-15,"LB","0","0","",""
2024-05-15,"Sheath","0","0","",""
2024-05-16,"LB","0","","0",""
2024-05-16,"Sheath","0","","0",""
2024-05-17,"LB","","","0",""
2024-05-17,"Sheath","","","0",""
2024-05-20,"LB","0","0","0",""
2024-05-20,"Sheath","0","0","0",""
2024-05-21,"LB","0","0","0",""
2024-05-21,"Sheath","0","0","0",""
2024-05-22,"LB","0","","0",""
2024-05-22,"Sheath","0","","0",""
