Date,Type,Day1,Day2,Day3,Comments
2018-01-05,Media,0,0,0,
2018-01-05,Sheath,0,0,0,
2018-01-08,Media,0,0,0,
2018-01-08,Sheath,0,0,0,
2018-01-18,Media,0,0,0,
2018-01-18,Sheath,0,0,0,
2018-01-16,Media,0,0,0,
2018-01-16,Sheath,0,0,0,
2018-01-17,Media,0,0,0,
2018-01-17,Sheath,0,0,0,
2018-01-23,Media,0,0,0,
2018-01-23,Sheath,0,0,0,
2018-01-24,Media,0,0,0,
2018-01-24,Sheath,0,0,0,
2018-01-26,Media,0,0,0,
2018-01-26,Sheath,0,0,0,
2018-01-30,Media,0,0,0,
2018-01-30,Sheath,0,0,0,
2018-01-31,Media,0,0,0,
2018-01-31,Sheath,0,0,0,
2018-02-08,Media,0,0,0,
2018-02-08,Sheath,0,0,0,
2018-02-13,Media,0,0,,
2018-02-13,Sheath,0,0,,
2018-02-14,Media,0,0,1,
2018-02-14,Sheath,0,0,1,
2018-02-15,Media,0,0,0,
2018-02-15,Sheath,0,1,1,Bacteria cocci
2018-02-16,Media,,,,
2018-02-16,Sheath,,,,
2018-02-19,Media,,,,
2018-02-19,Sheath,,,,
2018-02-20,Media,1,,,yeast
2018-02-20,Sheath,1,,,yeast
2018-02-22,Media,0,0,0,
2018-02-22,Sheath,0,0,0,
2018-02-27,Media,0,,,
2018-02-27,Sheath,0,,,
2018-02-28,Media,0,,,spores
2018-02-28,Sheath,0,,,spores
2018-03-01,LB,1,1,1,Major contamination
2018-03-01,Sheathe,1,1,1,Major contamination
2018-03-06,Media,0,0,0,
2018-03-06,Sheath,0,0,0,
2018-03-09,LB,,,,
2018-03-09,Sheath,,,,
2018-03-12,LB,,,,MiliQ water filter contaminated
2018-03-12,Sheath,,,,
2018-03-14,LB,0,0,0,
2018-03-14,Sheath,0,0,0,
2018-03-15,LB,0,0,0,
2018-03-15,Sheath,0,0,0,
2018-03-23,LB,0,0,0,
2018-03-23,Sheath,0,0,0,
2018-03-27,LB,0,0,,
2018-03-27,Sheath,0,0,,
2018-03-28,LB,0,,,
2018-03-28,Sheath,0,,,
2018-03-29,LB,0,,,
2018-03-29,Sheath,0,,,
2018-03-30,LB,0,0,,
2018-03-30,Sheath,0,0,,
2018-04-02,LB,0,,,
2018-04-02,Sheath,0,1,1,"Water sheathe tank positive, switch to tube cultures"
2018-04-04,LB,0,0,0,
2018-04-04,Sheath,0,0,0,
2018-04-05,LB,0,0,0,
2018-04-05,Sheath,0,0,0,
2018-04-06,LB,0,0,0,
2018-04-06,Sheath,0,0,0,
2018-04-09,LB,0,0,0,
2018-04-09,Sheath,0,0,0,
2018-04-11,LB,0,0,0,
2018-04-11,Sheath,0,0,0,
2018-04-12,LB,0,0,0,
2018-04-12,Sheath,0,0,0,
2018-04-16,LB,0,0,0,
2018-04-16,Sheath,0,0,0,
2018-04-18,LB,0,0,0,
2018-04-18,Sheath,0,0,0,
2018-04-19,LB,0,0,0,
2018-04-19,Sheath,0,0,0,
2018-04-23,LB,0,0,0,
2018-04-23,Sheath,0,0,0,
2018-04-24,LB,0,0,0,
2018-04-24,Sheath,0,0,0,
2018-04-25,LB,0,0,0,
2018-04-25,Sheath,0,0,0,
2018-04-26,LB,0,0,0,
2018-04-26,Sheath,0,0,0,
2018-04-27,LB,0,0,0,
2018-04-27,Sheath,0,0,0,
2018-04-30,LB,0,0,0,
2018-04-30,Sheath,0,0,0,
2018-05-01,LB,0,0,,
2018-05-01,Sheath,0,0,,
2018-05-02,LB,0,0,0,
2018-05-02,Sheath,0,0,0,
2018-05-03,LB,0,0,0,
2018-05-03,Sheath,0,0,0,
2018-05-07,LB,0,0,0,
2018-05-07,Sheath,0,0,0,
2018-05-08,LB,0,0,0,
2018-05-08,Sheath,0,1,0,
2018-05-09,LB,0,0,0,
2018-05-09,Sheath,0,0,0,
2018-05-10,LB,0,0,0,
2018-05-10,Sheath,0,0,0,
2018-05-11,LB,0,0,0,
2018-05-11,Sheath,0,0,0,The backflush was contaminated
2018-05-16,LB,0,0,0,
2018-05-16,Sheath,0,0,0,
2018-05-17,LB,0,0,0,
2018-05-17,Sheath,0,0,0,
2018-05-21,LB,0,0,0,
2018-05-21,Sheath,0,0,0,
2018-05-23,LB,0,0,0,
2018-05-23,Sheath,0,0,0,
2018-05-24,LB,0,0,0,
2018-05-24,Sheath,0,0,0,
2018-05-25,LB,0,0,0,
2018-05-25,Sheath,0,0,0,
2018-05-29,LB,0,0,0,
2018-05-29,Sheath,0,0,0,
2018-05-30,LB,0,0,0,
2018-05-30,Sheath,0,0,0,
2018-05-31,LB,0,0,0,
2018-05-31,Sheath,0,0,0,
2018-06-04,LB,0,0,0,
2018-06-04,Sheath,0,0,0,
2018-06-05,LB,0,0,0,
2018-06-05,Sheath,0,0,0,
2018-06-06,LB,0,0,0,
2018-06-06,Sheath,0,0,0,
2018-06-07,LB,0,0,0,
2018-06-07,Sheath,0,0,0,
2018-06-11,LB,0,0,0,
2018-06-11,Sheath,0,0,0,
2018-06-13,LB,0,0,0,
2018-06-13,Sheath,0,0,0,
2018-06-15,LB,0,0,0,
2018-06-15,Sheath,0,0,0,
2018-06-20,LB,0,0,0,
2018-06-20,Sheath,0,0,0,
2018-06-22,LB,0,0,0,
2018-06-22,Sheath,0,0,0,
2018-06-25,LB,0,0,0,
2018-06-25,Sheath,0,0,0,
2018-06-26,LB,0,0,0,
2018-06-26,Sheath,0,0,0,
2018-06-27,LB,0,0,0,
2018-06-27,Sheath,0,0,0,
2018-06-29,LB,0,0,0,
2018-06-29,Sheath,0,0,0,
2018-07-05,LB,0,0,0,
2018-07-05,Sheath,0,0,0,
2018-07-09,LB,0,0,0,
2018-07-09,Sheath,0,0,0,
2018-07-12,LB,0,,,
2018-07-12,Sheath,0,,,
2018-07-16,LB,0,,,
2018-07-16,Sheath,0,,,
2018-07-25,LB,0,0,,
2018-07-25,Sheath,1,1,1,
2018-07-26,LB,0,0,,
2018-07-26,Sheath,1,1,1,
2018-07-27,LB,0,,,
2018-07-27,Sheath,0,,,
2018-07-30,LB,0,0,0,
2018-07-30,Sheath,0,0,0,
2018-07-31,LB,0,0,0,
2018-07-31,Sheath,0,0,0,
2018-08-01,LB,0,0,0,
2018-08-01,Sheath,0,0,0,
2018-08-02,LB,0,0,,
2018-08-02,Sheath,0,0,,
2018-08-08,LB,0,0,,
2018-08-08,Sheath,0,0,,
2018-08-09,LB,0,0,,
2018-08-09,Sheath,0,0,,
2018-08-13,LB,0,0,0,
2018-08-13,Sheath,0,0,0,
2018-08-17,LB,0,,,
2018-08-17,Sheath,0,,,
2018-08-20,LB,0,0,0,
2018-08-20,Sheath,0,0,0,
2018-08-21,LB,0,0,0,
2018-08-21,Sheath,0,0,0,
2018-08-23,LB,0,0,,
2018-08-23,Sheath,0,0,,
2018-08-24,LB,0,0,0,
2018-08-24,Sheath,0,0,0,
2018-08-28,LB,0,0,0,
2018-08-28,Sheath,0,0,0,
2018-08-28,LB,0,,,
2018-08-28,Sheath,0,,,
2018-08-30,LB,0,,,
2018-08-30,Sheath,0,,,
2018-08-31,LB,0,,,
2018-08-31,Sheath,0,,,
2018-09-07,LB,0,,,
2018-09-07,Sheath,0,,,
2018-09-10,LB,0,0,0,
2018-09-10,Sheath,0,0,0,
2018-09-11,LB,0,0,0,
2018-09-11,Sheath,0,0,0,
2018-09-12,LB,0,0,0,
2018-09-12,Sheath,0,0,0,
2018-09-13,LB,0,0,,
2018-09-13,Sheath,0,0,,
2018-09-17,LB,0,0,0,
2018-09-17,Sheath,0,0,0,
2018-09-18,LB,0,0,0,
2018-09-18,Sheath,0,1,1,Sterile clean on 9-20-18
2018-09-20,LB,0,,,
2018-09-20,Sheath,0,,,
2018-10-01,LB,0,0,0,
2018-10-01,Sheath,0,0,0,
2018-10-02,LB,0,0,0,
2018-10-02,Sheath,0,0,0,
2018-10-03,LB,0,0,0,
2018-10-03,Sheath,0,0,0,
2018-10-04,LB,0,0,,
2018-10-04,Sheath,0,0,,
2018-10-08,LB,0,0,0,
2018-10-08,Sheath,0,0,0,
2018-10-09,LB,0,0,0,
2018-10-09,Sheath,0,0,0,
2018-10-10,LB,0,0,0,
2018-10-10,Sheath,0,0,0,
2018-10-12,LB,0,0,0,
2018-10-12,Sheath,0,0,0,
2018-10-16,LB,0,0,0,
2018-10-16,Sheath,0,0,0,
2018-10-17,LB,0,0,0,
2018-10-17,Sheath,0,0,0,
2018-10-22,LB,0,0,0,
2018-10-22,Sheath,0,0,0,
2018-10-23,LB,0,0,0,
2018-10-23,Sheath,0,0,0,
2018-10-25,LB,0,0,,
2018-10-25,Sheath,0,0,,
2018-10-29,LB,0,0,0,
2018-10-29,Sheath,0,0,0,
2018-10-30,LB,0,0,0,
2018-10-30,Sheath,0,0,0,
2018-11-01,LB,0,0,,
2018-11-01,Sheath,0,0,,
2018-11-02,LB,0,0,,
2018-11-02,Sheath,0,0,,
2018-11-06,LB,0,0,0,
2018-11-06,Sheath,0,0,0,
2018-11-07,LB,0,0,0,
2018-11-07,Sheath,0,0,0,
2018-11-08,LB,0,0,,
2018-11-08,Sheath,0,0,,
2018-11-12,LB,0,0,0,
2018-11-12,Sheath,0,0,0,
2018-11-13,LB,0,0,0,
2018-11-13,Sheath,0,0,0,
2018-11-15,LB,0,,,
2018-11-15,Sheath,0,,,
2018-11-27,LB,0,0,0,
2018-11-27,Sheath,0,0,0,
2018-11-28,LB,0,0,,
2018-11-28,Sheath,0,0,,
2018-11-30,LB,0,,,
2018-11-30,Sheath,0,,,
2018-12-03,LB,0,0,0,
2018-12-03,Sheath,0,0,0,
2018-12-04,LB,0,0,0,
2018-12-04,Sheath,0,0,0,
2018-12-05,LB,0,0,0,
2018-12-05,Sheath,0,0,0,
2018-12-06,LB,0,0,,
2018-12-06,Sheath,0,0,,
2018-12-07,LB,0,,,
2018-12-07,Sheath,0,,,
2018-12-10,LB,0,0,0,
2018-12-10,Sheath,0,0,0,
2018-12-11,LB,0,0,0,
2018-12-11,Sheath,0,0,0,
