Date,Instrument,Timepoint,Type,Day1,Day2,Day3,Comments
2015-02-03,,,Media,0,0,0,
2015-02-03,,,Sheath,0,0,0,
2015-02-09,,,Media,0,0,,
2015-02-09,,,Sheath,0,0,,
2015-02-13,,,Media,0,0,0,
2015-02-13,,,Sheath,0,0,0,
2015-02-26,,,Media,0,0,0,
2015-02-26,,,Sheath,0,0,0,
2015-03-03,,,Media,0,0,0,
2015-03-03,,,Sheath,0,0,0,
2015-03-10,,,Media,0,0,0,
2015-03-10,,,Sheath,0,0,0,
2015-03-17,,,Media,0,0,,
2015-03-17,,,Sheath,0,0,,
2015-03-18,,,Media,0,0,,
2015-03-18,,,Sheath,0,0,,
2015-04-07,,,Media,0,0,0,
2015-04-07,,,Sheath,0,0,0,
2015-04-10,,,Media,0,0,0,
2015-04-10,,,Sheath,0,0,0,
2015-04-13,,,Media,0,0,,
2015-04-13,,,Sheath,0,0,,
2015-04-15,,,Media,0,0,0,
2015-04-15,,,Sheath,0,0,0,
2015-04-20,Two,,Media,0,0,0,
2015-04-20,Two,,Sheath,0,0,0,
2015-04-28,,,Media,0,0,0,
2015-04-28,,,Sheath,0,0,0,
2015-05-05,,,Media,0,0,,
2015-05-05,,,Sheath,0,0,,
2015-05-07,,,Media,0,0,0,
2015-05-07,,,Sheath,0,0,0,
2015-05-11,,,Media,0,0,0,
2015-05-11,,,Sheath,0,0,0,
2015-05-12,,,Media,0,0,,
2015-05-12,,,Sheath,0,0,,
2015-05-15,,,Media,0,0,0,
2015-05-15,,,Sheath,0,0,0,
2015-05-18,One,,Media,0,0,0,
2015-05-18,One,,Sheath,0,0,0,
2015-05-18,Two,,Media,0,0,0,
2015-05-18,Two,,Sheath,0,0,0,
2015-05-20,Two,,Media,0,0,,
2015-05-20,Two,,Sheath,0,0,,
2015-05-22,One,,Media,0,0,0,
2015-05-22,One,,Sheath,0,0,0,
2015-05-22,Two,,Media,0,0,0,
2015-05-22,Two,,Sheath,0,0,0,
2015-05-27,Two,,Media,1,1,1,
2015-05-27,Two,,Sheath,0,1,1,
2015-05-29,Two,,Media,0,0,,
2015-05-29,Two,,Sheath,0,0,,
2015-06-02,One,,Media,,,,
2015-06-02,One,,Sheath,,,,
2015-06-02,Two,,Media,,,,
2015-06-02,Two,,Sheath,,,,
2015-06-25,One,,Media,0,1,1,Karbowski group called and said cells were contaminated
